T,seed,metric,value
1000,15,gas_total,128.26379305604735
1000,15,gas_total_pct,2.6115861587298306
1000,15,cost_pct,-27.20279631574605
1000,15,dCS,3430.2504559273584
1000,15,dSolar,1956.7270346563027
1000,15,dGasRent,-3044.8133642429448
1000,15,dTotal,2342.164126340721
1000,16,f,0.6337999999999999
1000,16,ratio,0.8759440405386537
1000,16,profit,275.09457400455784
1000,16,gas_M,60.734579774764235
1000,16,gas_E,67.45875546865487
1000,16,gas_total,128.1933352434191
1000,16,gas_total_pct,2.404977139709809
1000,16,cost_pct,-27.416487843795114
1000,16,dCS,3469.4148300675515
1000,16,dSolar,1969.4807169363075
1000,16,dGasRent,-3074.158352654352
1000,16,dTotal,2364.737194349498
1000,17,f,0.6364
1000,17,ratio,0.879544883365067
1000,17,profit,274.8578576796824
1000,17,gas_M,60.90080779646136
1000,17,gas_E,67.3932682808575
1000,17,gas_total,128.29407607731886
1000,17,gas_total_pct,2.7121044806093235
1000,17,cost_pct,-27.1316084202704
1000,17,dCS,3406.066811980483
1000,17,dSolar,1961.8834762834858
1000,17,dGasRent,-3034.058858583978
1000,17,dTotal,2333.8914296799803
1000,18,f,0.6404666666666666
1000,18,ratio,0.8870801887374046
1000,18,profit,274.4444833329877
1000,18,gas_M,61.136363209661404
1000,18,gas_E,67.18623690198257
1000,18,gas_total,128.32260011164396
1000,18,gas_total_pct,2.510285561741586
1000,18,cost_pct,-27.34049425925682
1000,18,dCS,3473.8554778063844
1000,18,dSolar,1949.736222914803
1000,18,dGasRent,-3065.508352581548
1000,18,dTotal,2358.0833481396458
1000,19,f,0.6363333333333333
1000,19,ratio,0.8775422524585734
1000,19,profit,274.81450164393254
1000,19,gas_M,60.90148319251395
1000,19,gas_E,67.51767726358861
1000,19,gas_total,128.41916045610256
1000,19,gas_total_pct,2.6119042433873947
1000,19,cost_pct,-27.12166593401785
1000,19,dCS,3417.770440849792
1000,19,dSolar,1960.8986059781064
1000,19,dGasRent,-3040.117287337517
1000,19,dTotal,2338.5517594903904
